item,path,database_table,metadata_differences
Adamantine Chunk,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\adamantine-chunk.md,Materials,"level: vault='8', db='8.0'; source: vault='gmcore', db='corerulebook'; page: vault='253', db='578'; traits: vault='precious', db='Uncommon, Precious'"
Adamantine Ingot,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\adamantine-ingot.md,Materials,"level: vault='8', db='8.0'; source: vault='gmcore', db='corerulebook'; page: vault='253', db='578'; traits: vault='precious', db='Uncommon, Precious'"
Adamantine Shield (High Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\adamantine-shield-high-grade.md,Shield_Material,"level: vault='18', db='16'; source: vault='gmcore', db='corerulebook'; page: vault='233', db='586'; bulk: vault='1', db='L'"
Adamantine Shield (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\adamantine-shield-standard-grade.md,Shield_Material,"level: vault='18', db='8'; source: vault='gmcore', db='corerulebook'; page: vault='233', db='586'"
Adamantine Weapon (High Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\adamantine-weapon-high-grade.md,Weapon_Material,"source: vault='gmcore', db='corerulebook'; page: vault='240', db='599'"
Adamantine Weapon (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\adamantine-weapon-standard-grade.md,Weapon_Material,"source: vault='gmcore', db='corerulebook'; page: vault='240', db='599'"
Addiction Suppressant (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\addiction-suppressant-greater.md,Alchemical_Items,"traits: vault='alchemical, consumable, elixir', db='Alchemical, Consumable, Elixir, Healing'"
Addiction Suppressant (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\addiction-suppressant-lesser.md,Alchemical_Items,"traits: vault='alchemical, consumable, elixir', db='Alchemical, Consumable, Elixir, Healing'"
Addiction Suppressant (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\addiction-suppressant-major.md,Alchemical_Items,"traits: vault='alchemical, consumable, elixir', db='Alchemical, Consumable, Elixir, Healing'"
Addiction Suppressant (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\addiction-suppressant-moderate.md,Alchemical_Items,"traits: vault='alchemical, consumable, elixir', db='Alchemical, Consumable, Elixir, Healing'"
Addlebrain,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Addlebrain.md,Alchemical_Items,"traits: vault='alchemical, consumable, inhaled, poison', db='Alchemical, Consumable, Inhaled, Poison, Rare'"
Admirer's Bouquet,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\admirers-bouquet.md,Held_Items,"traits: vault='magical', db='Abjuration, Magical, Rare'"
Advancing (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\advancing-greater.md,Runes,"traits: vault='magical', db='Magical, Necromancy'"
Advancing,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Advancing.md,Runes,"traits: vault='magical', db='Magical, Necromancy'"
Adventurer's Pack,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\adventurers-pack.md,Mundane,"level: vault='0', db='0.0'"
Adze,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Adze.md,Weapon_Basic,"traits: vault='forceful, tripkee, sweep', db='Forceful, Sweep, Tripkee'"
Aeon Stone (Agate Ellipsoid),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-agate-ellipsoid.md,Worn_Items,"source: vault='pathfindersocietyguide', db='pfsguide'; traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Aeon Stone (Amber Sphere),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-amber-sphere.md,Worn_Items,"rarity: vault='rare', db='Uncommon'; traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Aeon Stone (Azure Briolette),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-azure-briolette.md,Worn_Items,"source: vault='pathfindersocietyguide', db='pfsguide'; traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Aeon Stone (Black Disc),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-black-disc.md,Worn_Items,"rarity: vault='rare', db='Uncommon'; traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Aeon Stone (Black Pearl),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-black-pearl.md,Worn_Items,"source: vault='gmcore', db='worldguide'; page: vault='284', db='63'; traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Aeon Stone (Clear Quartz Octagon),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-clear-quartz-octagon.md,Worn_Items,"traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Aeon Stone (Cymophane Cabochon),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-cymophane-cabochon.md,Worn_Items,"rarity: vault='uncommon', db='Common'; traits: vault='earth, invested, magical', db='Earth'"
Aeon Stone (Dusty Rose Prism),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-dusty-rose-prism.md,Worn_Items,"source: vault='pathfindersocietyguide', db='pfsguide'; traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Aeon Stone (Gold Nodule),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-gold-nodule.md,Worn_Items,"traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Aeon Stone (Lavender and Green Ellipsoid),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-lavender-and-green-ellipsoid.md,Worn_Items,"page: vault='604', db='64'; traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Aeon Stone (Mottled Ellipsoid),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-mottled-ellipsoid.md,Worn_Items,"rarity: vault='rare', db='Uncommon'; traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Aeon Stone (Olivine Pendeloque),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-olivine-pendeloque.md,Worn_Items,"rarity: vault='uncommon', db='Common'; traits: vault='earth, invested, magical', db='Earth'"
Aeon Stone (Pale Lavender Ellipsoid),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-pale-lavender-ellipsoid.md,Worn_Items,"traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Aeon Stone (Pale Orange Rhomboid),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-pale-orange-rhomboid.md,Worn_Items,"source: vault='pathfindersocietyguide', db='pfsguide'; traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Aeon Stone (Pearlescent Pyramid),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-pearlescent-pyramid.md,Worn_Items,"source: vault='pathfindersocietyguide', db='pfsguide'; traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Aeon Stone (Pearly White Spindle),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-pearly-white-spindle.md,Worn_Items,"source: vault='pathfindersocietyguide', db='pfsguide'; traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Aeon Stone (Pink Rhomboid),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-pink-rhomboid.md,Worn_Items,"page: vault='604', db='64'; traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Aeon Stone (Polished Pebble),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-polished-pebble.md,Worn_Items,"rarity: vault='uncommon', db='Common'; traits: vault='earth, invested, magical', db='Earth'"
Aeon Stone (Rainbow Prism),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-rainbow-prism.md,Worn_Items,"rarity: vault='rare', db='Uncommon'; traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Aeon Stone (Western Star),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-western-star.md,Worn_Items,"source: vault='pathfindersocietyguide', db='pfsguide'; traits: vault='invested, magical', db='Invested, Magical, Transmutation, Uncommon'"
Aerial Cloak,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aerial-cloak.md,Worn_Items,
Aim-Aiding,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Aim-Aiding.md,Runes,"traits: vault='magical', db='Magical, Transmutation'"
Air Bladder,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\air-bladder.md,Mundane,"level: vault='0', db='0.0'"
Aklys,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Aklys.md,Weapon_Basic,"rarity: vault='uncommon', db='Rare'; traits: vault='tethered, thrown-20, trip', db='Ranged Trip, Tethered, Thrown 20 feet, Trip'"
Alarm Snare,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alarm-snare.md,Snares,
Alchemical Atomizer,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemical-atomizer.md,Alchemical_Items,"traits: vault='alchemical', db='Alchemical, Rare'"
Alchemical Chart (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemical-chart-greater.md,Alchemical_Items,
Alchemical Chart (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemical-chart-lesser.md,Alchemical_Items,
Alchemical Chart (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemical-chart-moderate.md,Alchemical_Items,
Alchemical Crossbow,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemical-crossbow.md,Weapon_Basic,"source: vault='adventurethefallofplaguestone', db='thefallofplaguestone'"
Alchemical Fuse,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemical-fuse.md,Alchemical_Items,
Alchemical Gauntlet,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemical-gauntlet.md,Alchemical_Items,"traits: vault='agile, alchemical, free-hand', db='Alchemical'"
Alchemist's Toolkit,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemist's-toolkit.md,Mundane,"level: vault='0', db='0.0'"
Alchemist Goggles (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemist-goggles-greater.md,Worn_Items,
Alchemist Goggles (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemist-goggles-major.md,Worn_Items,
Alchemist Goggles,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemist-goggles.md,Worn_Items,
Alchemist's Damper,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemists-damper.md,Consumables,"rarity: vault='uncommon', db='Common'; traits: vault='consumable, magical, talisman', db='Consumable, Divine, Evocation, Magical, Talisman'"
Alchemist's Fire (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemists-fire-greater.md,Alchemical_Items,"source: vault='gmcore', db='playercore2'"
Alchemist's Fire (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemists-fire-lesser.md,Alchemical_Items,"source: vault='gmcore', db='playercore2'"
Alchemist's Fire (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemists-fire-major.md,Alchemical_Items,"source: vault='gmcore', db='playercore2'"
Alchemist's Fire (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemists-fire-moderate.md,Alchemical_Items,"source: vault='gmcore', db='playercore2'"
Alchemist's Flamethrower,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemists-flamethrower.md,Alchemical_Items,"traits: vault='alchemical, fire', db='Alchemical, Fire, Rare'"
Alchemist's Haversack,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemists-haversack.md,Worn_Items,"page: vault='148', db='145'; traits: vault='extradimensional, invested, magical', db='Conjuration, Extradimensional, Invested, Magical'"
Alchemist's Lab (Expanded),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemists-lab-expanded.md,Mundane,"level: vault='3', db='3.0'"
Alchemist's Lab,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alchemists-lab.md,Mundane,"level: vault='0', db='0.0'"
Aldori Dueling Sword,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aldori-dueling-sword.md,Weapon_Basic,"rarity: vault='uncommon', db='Rare'; source: vault='worldguide', db='kingmakeradventurepath'; page: vault='28', db='599'"
Alghollthu Lash,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alghollthu-lash.md,Specific_Magic_Weapons,"traits: vault='disarm, finesse, magical, nonlethal, reach, trip', db='Magical, Transmutation'"
Alicorn Hair,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alicorn-hair.md,Consumables,
Alicorn Lance,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alicorn-lance.md,Specific_Magic_Weapons,"traits: vault='deadly-d8, jousting-d6, magical, reach', db='Evocation, Magical, Transmutation'"
Alkenstar Ice Wine,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alkenstar-ice-wine.md,Alchemical_Items,"traits: vault='alchemical, consumable, drug, ingested, poison, vitality', db='Alchemical, Consumable, Drug, Ingested, Poison, Positive, Uncommon'"
Alluring Lantern,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alluring-lantern.md,Grafts,
Alluring Scarf (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alluring-scarf-greater.md,Held_Items,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='magical', db='Enchantment, Magical, Uncommon'"
Alluring Scarf (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alluring-scarf-major.md,Held_Items,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='magical', db='Enchantment, Magical, Uncommon'"
Alluring Scarf,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alluring-scarf.md,Held_Items,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='magical', db='Enchantment, Magical, Uncommon'"
Aluum Charm,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aluum-charm.md,Worn_Items,"traits: vault='invested, magical', db='Enchantment, Invested, Magical, Uncommon'"
Amaranthine Pavise,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\amaranthine-pavise.md,Specific_Magic_Shields,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='magical', db='Enchantment, Magical, Uncommon'"
Amazing Pop-up Book,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\amazing-pop-up-book.md,Grimoire,"traits: vault='grimoire, illusion, magical', db='Grimoire, Illusion, Magical, Uncommon'"
Ambrosia of Undying Hope,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ambrosia-of-undying-hope.md,Alchemical_Items,"traits: vault='alchemical, consumable, elixir', db='Alchemical, Consumable, Elixir, Necromancy, Rare'"
Amnemonic Charm,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\amnemonic-charm.md,Consumables,"rarity: vault='uncommon', db='Common'; traits: vault='consumable, magical, talisman', db='Consumable, Magical, Talisman, Transmutation, Visual'"
Amphisbaena Handwraps,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\amphisbaena-handwraps.md,Worn_Items,"traits: vault='invested, magical, unarmed', db='Invested, Magical, Uncommon'"
Amphisbaena Spittle,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\amphisbaena-spittle.md,Consumables,
Amulet of the Hellcat,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\amulet-of-the-hellcat.md,Worn_Items,"traits: vault='invested, magical', db='Invested, Magical, Uncommon'"
Amulet of the Third Eye,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\amulet-of-the-third-eye.md,Worn_Items,"page: vault='102', db='12'; traits: vault='apex, invested, magical', db='Apex, Divination, Invested, Magical'"
Anathema Fulu,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\anathema-fulu.md,Consumables,"traits: vault='consumable, fulu, magical', db='Abjuration, Consumable, Fulu, Magical'"
Ancestral Echoing,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ancestral-echoing.md,Runes,"traits: vault='dwarf, magical, saggorak', db='Dwarf, Evocation, Magical, Rare, Saggorak'"
Ancestral Geometry,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ancestral-geometry.md,Tattoos,"traits: vault='invested, magical, tattoo', db='Abjuration, Invested, Magical, Tattoo, Uncommon'"
Anchor of Aquatic Exploration,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\anchor-of-aquatic-exploration.md,Held_Items,"traits: vault='magical', db='Conjuration, Magical, Transmutation, Uncommon'"
Anchor Spear,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\anchor-spear.md,Specific_Magic_Weapons,"traits: vault='magical, monk, thrown-20', db='Magical, Transmutation'"
Anchoring (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\anchoring-greater.md,Runes,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='magical', db='Abjuration, Magical, Uncommon'"
Anchoring,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Anchoring.md,Runes,"source: vault='thegrandbazaar', db='grandbazaar'; traits: vault='magical', db='Abjuration, Magical, Uncommon'"
Anglerfish Lantern (Submersible),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\anglerfish-lantern-submersible.md,Held_Items,"traits: vault='magical, water', db='Uncommon'"
Anglerfish Lantern,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\anglerfish-lantern.md,Held_Items,
Animal Bed,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\animal-bed.md,Mundane,"level: vault='0', db='0.0'"
Animal Blind,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\animal-blind.md,Mundane,"level: vault='0', db='0.0'; source: vault='sourcepathfinderhowlofthewild', db='howlofthewild'"
Animal Call,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\animal-call.md,Mundane,"level: vault='0', db='0.0'"
Animal Nip (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\animal-nip-lesser.md,Consumables,
Animal Nip (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\animal-nip-moderate.md,Consumables,
Animal Pheromones (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\animal-pheromones-greater.md,Alchemical_Items,
Animal Pheromones (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\animal-pheromones-lesser.md,Alchemical_Items,
Animal Pheromones (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\animal-pheromones-moderate.md,Alchemical_Items,
Animal Repellent (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\animal-repellent-greater.md,Alchemical_Items,
Animal Repellent (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\animal-repellent-lesser.md,Alchemical_Items,
Animal Repellent (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\animal-repellent-major.md,Alchemical_Items,
Animal Repellent (Minor),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\animal-repellent-minor.md,Alchemical_Items,
Animal Repellent (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\animal-repellent-moderate.md,Alchemical_Items,
Animal Staff (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\animal-staff-greater.md,Staff_Wand,"source: vault='gmcore', db='corerulebook'; page: vault='278', db='593'; traits: vault='magical, staff, two-hand-d8', db='Divination, Magical, Staff'"
Animal Staff (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\animal-staff-major.md,Staff_Wand,"source: vault='gmcore', db='corerulebook'; page: vault='278', db='593'; traits: vault='magical, staff, two-hand-d8', db='Divination, Magical, Staff'"
Animal Staff,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\animal-staff.md,Staff_Wand,"source: vault='gmcore', db='corerulebook'; page: vault='278', db='593'; traits: vault='magical, staff, two-hand-d8', db='Divination, Magical, Staff'"
Animal-Turning Fulu,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\animal-turning-fulu.md,Consumables,"traits: vault='consumable, fulu, magical, talisman', db='Abjuration, Consumable, Fulu, Magical, Rare, Talisman'"
Ankhrav Duster,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ankhrav-duster.md,Specific_Magic_Weapons,"traits: vault='agile, free-hand, magical, monk', db='Magical, Uncommon'"
