item,database_table,possible_vault_matches
Staff of Conjuration (Major),Staff_Wand,Staff of Control (Major); Staff of Protection (Major); Staff of Air (Major)
Staff of Divination,Staff_Wand,Staff of Illumination
Staff of Divination (Greater),Staff_Wand,Staff of Air (Greater); Staff of Final Rest (Greater); Staff of Protection (Greater)
Staff of Divination (Major),Staff_Wand,Staff of Air (Major); Staff of Final Rest (Major); Staff of Illumination
Staff of Enchantment,Staff_Wand,
Staff of Enchantment (Greater),Staff_Wand,Staff of Phantasms (Greater); Staff of Water (Greater); Staff of Metal (Greater)
Staff of Enchantment (Major),Staff_Wand,Staff of Phantasms (Major); Staff of Water (Major); Staff of Metal (Major)
Staff of Evocation,Staff_Wand,Staff of Protection; Staff of Healing
Staff of Evocation (Greater),Staff_Wand,Staff of Protection (Greater); Staff of Healing (Greater); Staff of Earth (Greater)
Staff of Evocation (Major),Staff_Wand,Staff of Protection (Major); Staff of Healing (Major); Staff of Earth (Major)
Staff of Illusion,Staff_Wand,Staff of Illumination
Staff of Illusion (Greater),Staff_Wand,Cloak of Illusions (Greater); Staff of Healing (Greater); Staff of Air (Greater)
Staff of Illusion (Major),Staff_Wand,Staff of Healing (Major); Staff of Air (Major); Staff of Impossible Visions (Major)
Staff of Necromancy,Staff_Wand,
Staff of Necromancy (Greater),Staff_Wand,Staff of Healing (Greater); Staff of Control (Greater); Staff of Providence (Greater)
Staff of Necromancy (Major),Staff_Wand,Staff of Healing (Major); Staff of Control (Major); Staff of Providence (Major)
Staff of Transmutation,Staff_Wand,
Staff of Transmutation (Greater),Staff_Wand,Staff of Protection (Greater); Staff of Metal (Greater); Staff of Arcane Might (Greater)
Staff of Transmutation (Major),Staff_Wand,Staff of Protection (Major)
Wand of Choking Mist (2nd-Level Spell),Staff_Wand,Wand of Reaching (2nd-level)
Wand of Choking Mist (4th-Level Spell),Staff_Wand,Wand of Reaching (4th-level); Wand of Chromatic Burst (4th-level)
Wand of Chromatic Burst (4th-Level Spell),Staff_Wand,Wand of Chromatic Burst (4th-level); Wand of Chromatic Burst (7th-level)
Wand of Chromatic Burst (7th-Level Spell),Staff_Wand,Wand of Chromatic Burst (7th-level); Wand of Chromatic Burst (4th-level)
Wand of Clinging Rime (7th-Level Spell),Staff_Wand,Wand of Clinging Rime (7th-level); Wand of Clinging Rime (9th-level); Wand of Clinging Rime (8th-level)
Wand of Clinging Rime (8th-Level Spell),Staff_Wand,Wand of Clinging Rime (8th-level); Wand of Clinging Rime (9th-level); Wand of Clinging Rime (7th-level)
Wand of Clinging Rime (9th-Level Spell),Staff_Wand,Wand of Clinging Rime (9th-level); Wand of Clinging Rime (8th-level); Wand of Clinging Rime (7th-level)
Wand of Continuation (1st-Level Spell),Staff_Wand,Wand of Continuation (1st-Rank Spell); Wand of Continuation (8th-Rank Spell); Wand of Continuation (7th-Rank Spell)
Wand of Continuation (2nd-Level Spell),Staff_Wand,Wand of Continuation (2nd-Rank Spell); Wand of Continuation (8th-Rank Spell); Wand of Continuation (7th-Rank Spell)
Wand of Continuation (3rd-Level Spell),Staff_Wand,Wand of Continuation (3rd-Rank Spell); Wand of Continuation (8th-Rank Spell); Wand of Continuation (7th-Rank Spell)
Wand of Continuation (4th-Level Spell),Staff_Wand,Wand of Continuation (4th-Rank Spell); Wand of Continuation (8th-Rank Spell); Wand of Continuation (7th-Rank Spell)
Wand of Continuation (5th-Level Spell),Staff_Wand,Wand of Continuation (5th-Rank Spell); Wand of Continuation (8th-Rank Spell); Wand of Continuation (7th-Rank Spell)
Wand of Continuation (6th-Level Spell),Staff_Wand,Wand of Continuation (6th-Rank Spell); Wand of Continuation (8th-Rank Spell); Wand of Continuation (7th-Rank Spell)
Wand of Continuation (7th-Level Spell),Staff_Wand,Wand of Continuation (7th-Rank Spell); Wand of Continuation (8th-Rank Spell); Wand of Continuation (6th-Rank Spell)
Wand of Continuation (8th-Level Spell),Staff_Wand,Wand of Continuation (8th-Rank Spell); Wand of Continuation (7th-Rank Spell); Wand of Continuation (6th-Rank Spell)
Wand of Dazzling Rays (3rd-Level Spell),Staff_Wand,Wand of Dazzling Rays (3rd-level); Wand of Dazzling Rays (9th-level); Wand of Dazzling Rays (8th-level)
Wand of Dazzling Rays (4th-Level Spell),Staff_Wand,Wand of Dazzling Rays (4th-level); Wand of Dazzling Rays (9th-level); Wand of Dazzling Rays (8th-level)
Wand of Dazzling Rays (5th-Level Spell),Staff_Wand,Wand of Dazzling Rays (5th-level); Wand of Dazzling Rays (9th-level); Wand of Dazzling Rays (8th-level)
Wand of Dazzling Rays (6th-Level Spell),Staff_Wand,Wand of Dazzling Rays (6th-level); Wand of Dazzling Rays (9th-level); Wand of Dazzling Rays (8th-level)
Wand of Dazzling Rays (7th-Level Spell),Staff_Wand,Wand of Dazzling Rays (7th-level); Wand of Dazzling Rays (9th-level); Wand of Dazzling Rays (8th-level)
Wand of Dazzling Rays (8th-Level Spell),Staff_Wand,Wand of Dazzling Rays (8th-level); Wand of Dazzling Rays (9th-level); Wand of Dazzling Rays (7th-level)
Wand of Dazzling Rays (9th-Level Spell),Staff_Wand,Wand of Dazzling Rays (9th-level); Wand of Dazzling Rays (8th-level); Wand of Dazzling Rays (7th-level)
Wand of Dumbfounding Doom (3rd-Level Spell),Staff_Wand,Wand of Dumbfounding Doom (3rd-level); Wand of Dumbfounding Doom (9th-level); Wand of Dumbfounding Doom (8th-level)
Wand of Dumbfounding Doom (4th-Level Spell),Staff_Wand,Wand of Dumbfounding Doom (4th-level); Wand of Dumbfounding Doom (9th-level); Wand of Dumbfounding Doom (8th-level)
Wand of Dumbfounding Doom (5th-Level Spell),Staff_Wand,Wand of Dumbfounding Doom (5th-level); Wand of Dumbfounding Doom (9th-level); Wand of Dumbfounding Doom (8th-level)
Wand of Dumbfounding Doom (6th-Level Spell),Staff_Wand,Wand of Dumbfounding Doom (6th-level); Wand of Dumbfounding Doom (9th-level); Wand of Dumbfounding Doom (8th-level)
Wand of Dumbfounding Doom (7th-Level Spell),Staff_Wand,Wand of Dumbfounding Doom (7th-level); Wand of Dumbfounding Doom (9th-level); Wand of Dumbfounding Doom (8th-level)
Wand of Dumbfounding Doom (8th-Level Spell),Staff_Wand,Wand of Dumbfounding Doom (8th-level); Wand of Dumbfounding Doom (9th-level); Wand of Dumbfounding Doom (7th-level)
Wand of Dumbfounding Doom (9th-Level Spell),Staff_Wand,Wand of Dumbfounding Doom (9th-level); Wand of Dumbfounding Doom (8th-level); Wand of Dumbfounding Doom (7th-level)
Wand of Hawthorn (2nd-Level Spell),Staff_Wand,Wand of Hawthorn (2nd-level); Wand of Hawthorn (8th-level); Wand of Hawthorn (6th-level)
Wand of Hawthorn (4th-Level Spell),Staff_Wand,Wand of Hawthorn (4th-level); Wand of Hawthorn (8th-level); Wand of Hawthorn (6th-level)
Wand of Hawthorn (6th-Level Spell),Staff_Wand,Wand of Hawthorn (6th-level); Wand of Hawthorn (8th-level); Wand of Hawthorn (4th-level)
Wand of Hawthorn (8th-Level Spell),Staff_Wand,Wand of Hawthorn (8th-level); Wand of Hawthorn (6th-level); Wand of Hawthorn (4th-level)
Wand of Hybrid Form (2nd-Level Spell),Staff_Wand,Wand of Hybrid Form (2nd-level); Wand of Hybrid Form (3rd-level); Wand of Hybrid Form (9th-level)
Wand of Hybrid Form (3rd-Level Spell),Staff_Wand,Wand of Hybrid Form (3rd-level); Wand of Hybrid Form (2nd-level); Wand of Hybrid Form (9th-level)
Wand of Hybrid Form (4th-Level Spell),Staff_Wand,Wand of Hybrid Form (4th-level); Wand of Hybrid Form (9th-level); Wand of Hybrid Form (8th-level)
Wand of Hybrid Form (5th-Level Spell),Staff_Wand,Wand of Hybrid Form (5th-level); Wand of Hybrid Form (9th-level); Wand of Hybrid Form (8th-level)
Wand of Hybrid Form (6th-Level Spell),Staff_Wand,Wand of Hybrid Form (6th-level); Wand of Hybrid Form (9th-level); Wand of Hybrid Form (8th-level)
Wand of Hybrid Form (7th-Level Spell),Staff_Wand,Wand of Hybrid Form (7th-level); Wand of Hybrid Form (9th-level); Wand of Hybrid Form (8th-level)
Wand of Hybrid Form (8th-Level Spell),Staff_Wand,Wand of Hybrid Form (8th-level); Wand of Hybrid Form (9th-level); Wand of Hybrid Form (7th-level)
Wand of Hybrid Form (9th-Level Spell),Staff_Wand,Wand of Hybrid Form (9th-level); Wand of Hybrid Form (8th-level); Wand of Hybrid Form (7th-level)
Wand of Legerdemain (1st-Level Spell),Staff_Wand,Wand of Legerdemain (1st-level); Wand of Legerdemain (9th-level); Wand of Legerdemain (8th-level)
Wand of Legerdemain (2nd-Level Spell),Staff_Wand,Wand of Legerdemain (2nd-level); Wand of Legerdemain (3rd-level); Wand of Legerdemain (9th-level)
Wand of Legerdemain (3rd-Level Spell),Staff_Wand,Wand of Legerdemain (3rd-level); Wand of Legerdemain (2nd-level); Wand of Legerdemain (9th-level)
Wand of Legerdemain (4th-Level Spell),Staff_Wand,Wand of Legerdemain (4th-level); Wand of Legerdemain (9th-level); Wand of Legerdemain (8th-level)
Wand of Legerdemain (5th-Level Spell),Staff_Wand,Wand of Legerdemain (5th-level); Wand of Legerdemain (9th-level); Wand of Legerdemain (8th-level)
Wand of Legerdemain (6th-Level Spell),Staff_Wand,Wand of Legerdemain (6th-level); Wand of Legerdemain (9th-level); Wand of Legerdemain (8th-level)
Wand of Legerdemain (7th-Level Spell),Staff_Wand,Wand of Legerdemain (7th-level); Wand of Legerdemain (9th-level); Wand of Legerdemain (8th-level)
Wand of Legerdemain (8th-Level Spell),Staff_Wand,Wand of Legerdemain (8th-level); Wand of Legerdemain (9th-level); Wand of Legerdemain (7th-level)
Wand of Legerdemain (9th-Level Spell),Staff_Wand,Wand of Legerdemain (9th-level); Wand of Legerdemain (8th-level); Wand of Legerdemain (7th-level)
Wand of Manifold Missiles (1st-Level Spell),Staff_Wand,
Wand of Manifold Missiles (3rd-Level Spell),Staff_Wand,
Wand of Manifold Missiles (5th-Level Spell),Staff_Wand,
Wand of Manifold Missiles (7th-Level Spell),Staff_Wand,
Wand of Mental Purification (1st-Level Spell),Staff_Wand,Wand of Mental Purification (1st-level); Wand of Mental Purification (9th-level); Wand of Mental Purification (8th-level)
Wand of Mental Purification (2nd-Level Spell),Staff_Wand,Wand of Mental Purification (2nd-level); Wand of Mental Purification (3rd-level); Wand of Mental Purification (9th-level)
Wand of Mental Purification (3rd-Level Spell),Staff_Wand,Wand of Mental Purification (3rd-level); Wand of Mental Purification (2nd-level); Wand of Mental Purification (9th-level)
Wand of Mental Purification (4th-Level Spell),Staff_Wand,Wand of Mental Purification (4th-level); Wand of Mental Purification (9th-level); Wand of Mental Purification (8th-level)
Wand of Mental Purification (5th-Level Spell),Staff_Wand,Wand of Mental Purification (5th-level); Wand of Mental Purification (9th-level); Wand of Mental Purification (8th-level)
Wand of Mental Purification (6th-Level Spell),Staff_Wand,Wand of Mental Purification (6th-level); Wand of Mental Purification (9th-level); Wand of Mental Purification (8th-level)
Wand of Mental Purification (7th-Level Spell),Staff_Wand,Wand of Mental Purification (7th-level); Wand of Mental Purification (9th-level); Wand of Mental Purification (8th-level)
Wand of Mental Purification (8th-Level Spell),Staff_Wand,Wand of Mental Purification (8th-level); Wand of Mental Purification (9th-level); Wand of Mental Purification (7th-level)
Wand of Mental Purification (9th-Level Spell),Staff_Wand,Wand of Mental Purification (9th-level); Wand of Mental Purification (8th-level); Wand of Mental Purification (7th-level)
Wand of Mercy (1st-Level Spell),Staff_Wand,Wand of Mercy (1st-level); Wand of Mercy (9th-level); Wand of Mercy (8th-level)
Wand of Mercy (2nd-Level Spell),Staff_Wand,Wand of Mercy (2nd-level); Wand of Mercy (3rd-level); Wand of Mercy (9th-level)
Wand of Mercy (3rd-Level Spell),Staff_Wand,Wand of Mercy (3rd-level); Wand of Mercy (2nd-level); Wand of Mercy (9th-level)
Wand of Mercy (4th-Level Spell),Staff_Wand,Wand of Mercy (4th-level); Wand of Mercy (9th-level); Wand of Mercy (8th-level)
Wand of Mercy (5th-Level Spell),Staff_Wand,Wand of Mercy (5th-level); Wand of Mercy (9th-level); Wand of Mercy (8th-level)
Wand of Mercy (6th-Level Spell),Staff_Wand,Wand of Mercy (6th-level); Wand of Mercy (9th-level); Wand of Mercy (8th-level)
Wand of Mercy (7th-Level Spell),Staff_Wand,Wand of Mercy (7th-level); Wand of Mercy (9th-level); Wand of Mercy (8th-level)
Wand of Mercy (8th-Level Spell),Staff_Wand,Wand of Mercy (8th-level); Wand of Mercy (9th-level); Wand of Mercy (7th-level)
Wand of Mercy (9th-Level Spell),Staff_Wand,Wand of Mercy (9th-level); Wand of Mercy (8th-level); Wand of Mercy (7th-level)
Wand of Noisome Acid (2nd-Level Spell),Staff_Wand,Wand of Noisome Acid (2nd-Rank Spell); Wand of Noisome Acid (4nd-Rank Spell); Wand of Noisome Acid (8th-Rank Spell)
Wand of Noisome Acid (4th-Level Spell),Staff_Wand,Wand of Noisome Acid (8th-Rank Spell); Wand of Noisome Acid (6th-Rank Spell); Wand of Noisome Acid (4nd-Rank Spell)
Wand of Noisome Acid (6th-Level Spell),Staff_Wand,Wand of Noisome Acid (6th-Rank Spell); Wand of Noisome Acid (8th-Rank Spell); Wand of Noisome Acid (4nd-Rank Spell)
Wand of Noisome Acid (8th-Level Spell),Staff_Wand,Wand of Noisome Acid (8th-Rank Spell); Wand of Noisome Acid (6th-Rank Spell); Wand of Noisome Acid (4nd-Rank Spell)
Wand of Paralytic Shock (3rd-Level Spell),Staff_Wand,Wand of Paralytic Shock (3rd-level); Wand of Paralytic Shock (7th-level)
Wand of Paralytic Shock (7th-Level Spell),Staff_Wand,Wand of Paralytic Shock (7th-level); Wand of Paralytic Shock (3rd-level)
Wand of Pernicious Poison (1st-Level Spell),Staff_Wand,Wand of Pernicious Poison (Spider Sting)
Wand of Pernicious Poison (6th-Level Spell),Staff_Wand,Wand of Pernicious Poison (Spider Sting)
Wand of Reaching (1st-Level Spell),Staff_Wand,Wand of Reaching (1st-level); Wand of Reaching (9th-level); Wand of Reaching (8th-level)
Wand of Reaching (2nd-Level Spell),Staff_Wand,Wand of Reaching (2nd-level); Wand of Reaching (3rd-level); Wand of Reaching (9th-level)
Wand of Reaching (3rd-Level Spell),Staff_Wand,Wand of Reaching (3rd-level); Wand of Reaching (2nd-level); Wand of Reaching (9th-level)
Wand of Reaching (4th-Level Spell),Staff_Wand,Wand of Reaching (4th-level); Wand of Reaching (9th-level); Wand of Reaching (8th-level)
Wand of Reaching (5th-Level Spell),Staff_Wand,Wand of Reaching (5th-level); Wand of Reaching (9th-level); Wand of Reaching (8th-level)
