Name,ItemLevel,Type,Subtype,Cost,Curse,Traits,Rarity,Bulk,Source,Adventuring,Alchemist,Arcane,Blacksmith,Scribe,Bowyer,General,Jewelry,Leatherworker,Music_Games,Illicit,Tailor,Temple,Armorer,Weaponsmith,Tattooist,Publisher_Source
Aeon Stone (Repairing),4,,,75,,"invested, magical",uncommon,,Pathfinder #213: Thirst for Blood,,,,,,,,,,,,,,,,,Paizo
Aeon Stone (Smoothing),7,,,310,,"invested, magical",uncommon,,Pathfinder GM Core pg. 284,,,,,,,,,,,,,,,,,Paizo
Aeon Stone (Sprouting),6,,,220,,"invested, magical",uncommon,,Pathfinder GM Core pg. 284,,,,,,,,,,,,,,,,,Paizo
Aether Appendage,5,,,160,,"incorporeal, magical",uncommon,L,Pathfinder Treasure Vault pg. 108,,,,,,,,,,,,,,,,,Paizo
Aetheric Irritant (Greater),11,,,275,,"consumable, gadget, sonic",uncommon,L,Pathfinder Lost Omens Rival Academies pg. 92,,,,,,,,,,,,,,,,,Paizo
Aetheric Irritant (Lesser),1,,,4,,"consumable, gadget, sonic",uncommon,L,Pathfinder Lost Omens Rival Academies pg. 92,,,,,,,,,,,,,,,,,Paizo
Aetheric Irritant (Major),17,,,2750,,"consumable, gadget, sonic",uncommon,L,Pathfinder Lost Omens Rival Academies pg. 92,,,,,,,,,,,,,,,,,Paizo
Aetheric Irritant (Moderate),3,,,11,,"consumable, gadget, sonic",uncommon,L,Pathfinder Lost Omens Rival Academies pg. 92,,,,,,,,,,,,,,,,,Paizo
Affinity Stones,9,,,0,,"artifact, invested, magical",rare,,Pathfinder Lost Omens Highhelm pg. 115,,,,,,,,,,,,,,,,,Paizo
Air Cartridge Firing System,4,,,75,,,uncommon,,Pathfinder Guns & Gears pg. 183,,,,,,,,,,,,,,,,,Paizo
Air Repeater,0,,,4,,"agile, repeating",uncommon,L,Pathfinder Guns & Gears pg. 152,,,,,,,,,,,,,,,,,Paizo
Alcohol,,,,1,,"alchemical, consumable, drug, ingested, poison",,1,Pathfinder Gamemastery Guide pg. 120,,,,,,,,,,,,,,,,,Paizo
Alicorn Trigger,15,,,6500,,"concussive, fatal-aim-d12, magical",rare,1,Pathfinder Howl of the Wild pg. 104,,,,,,,,,,,,,,,,,Paizo
Amphibious Chair,9,,,575,,magical,,,Pathfinder Lost Omens The Grand Bazaar pg. 71,,,,,,,,,,,,,,,,,Paizo
Amulet of Kinship's Strength,12,,,2000,,"invested, magical",uncommon,L,Pathfinder #209: Destroyer's Doom pg. 82,,,,,,,,,,,,,,,,,Paizo
Ancestral Embrace,26,,,0,,"artifact, divine, invested",unique,1,Pathfinder #174: Shadows of the Ancients pg. 76,,,,,,,,,,,,,,,,,Paizo
Angelic Opera Cloak,19,,,40000,,"apex, holy, invested, magical",rare,L,Pathfinder #206: Bring the House Down pg. 81,,,,,,,,,,,,,,,,,Paizo
Anima Robe (Artifact),20,,,0,,"apex, artifact, illusion, intelligent, invested, magical",unique,L,Pathfinder #212: A Voice in the Blight pg. 72,,,,,,,,,,,,,,,,,Paizo
Anima Robe,15,,,6500,,"illusion, invested, magical",unique,L,Pathfinder #211: The Secret of Deathstalk Tower pg. 81,,,,,,,,,,,,,,,,,Paizo
Animate Dreamer,15,,,0,,"concussive, dwarf, intelligent, kickback, occult, scatter-10",rare,2,Pathfinder Guns & Gears pg. 161,,,,,,,,,,,,,,,,,Paizo
Animated,13,,,2700,,magical,uncommon,,Pathfinder GM Core pg. 236,,,,,,,,,,,,,,,,,Paizo
Antifungal Salve (Greater),10,,,160,,"alchemical, consumable",,L,Pathfinder #210: Whispers in the Dirt pg. 77,,,,,,,,,,,,,,,,,Paizo
Antifungal Salve (Lesser),1,,,3,,"alchemical, consumable",,L,Pathfinder #210: Whispers in the Dirt pg. 77,,,,,,,,,,,,,,,,,Paizo
Antifungal Salve (Major),14,,,675,,"alchemical, consumable",,L,Pathfinder #210: Whispers in the Dirt pg. 77,,,,,,,,,,,,,,,,,Paizo
Antifungal Salve (Moderate),6,,,35,,"alchemical, consumable",,L,Pathfinder #210: Whispers in the Dirt pg. 77,,,,,,,,,,,,,,,,,Paizo
Apotheosis Knife,20,,,60000,,"agile, finesse, magical, thrown-10, unholy, versatile-s",rare,L,Pathfinder #212: A Voice in the Blight pg. 79,,,,,,,,,,,,,,,,,Paizo
Apparition Gloves,2,,,25,,magical,,L,Pathfinder Treasure Vault pg. 109,,,,,,,,,,,,,,,,,Paizo
Aquarium Lamp,8,,,1500,,"electricity, light",uncommon,20,Pathfinder Guns & Gears pg. 84,,,,,,,,,,,,,,,,,Paizo
Arboreal Staff,12,,,1750,,"intelligent, magical, primal, staff, two-hand-d8",rare,1,Pathfinder Treasure Vault pg. 193,,,,,,,,,,,,,,,,,Paizo
Arboreal Wand (Rank 2),9,,,700,,"healing, magical, vitality, wand",rare,L,Pathfinder #201: Pactbreaker pg. 81,,,,,,,,,,,,,,,,,Paizo
Arboreal Wand (Rank 3),11,,,1400,,"healing, magical, vitality, wand",rare,L,Pathfinder #201: Pactbreaker pg. 241,,,,,,,,,,,,,,,,,Paizo
Arboreal Wand (Rank 4),13,,,3000,,"healing, magical, vitality, wand",rare,L,Pathfinder #201: Pactbreaker pg. 241,,,,,,,,,,,,,,,,,Paizo
Arboreal Wand (Rank 5),15,,,6500,,"healing, magical, vitality, wand",rare,L,Pathfinder #201: Pactbreaker pg. 241,,,,,,,,,,,,,,,,,Paizo
Arboreal Wand (Rank 6),17,,,15000,,"healing, magical, vitality, wand",rare,L,Pathfinder #201: Pactbreaker pg. 241,,,,,,,,,,,,,,,,,Paizo
Arboreal Wand (Rank 7),19,,,40000,,"healing, magical, vitality, wand",rare,L,Pathfinder #201: Pactbreaker pg. 241,,,,,,,,,,,,,,,,,Paizo
Arboreal's Revenge,6,,,0,,"concussive, cursed, magical, scatter-10",rare,2,Pathfinder Guns & Gears pg. 160,,,,,,,,,,,,,,,,,Paizo
Aroden's Hearthstone,25,,,0,,"arcane, artifact",unique,L,Pathfinder #156: The Apocalypse Prophet pg. 66,,,,,,,,,,,,,,,,,Paizo
Aromatic Ammunition,2,,,5,,"alchemical, consumable",,,Pathfinder Guns & Gears pg. 168,,,,,,,,,,,,,,,,,Paizo
Arrows (Bludgeon),,,,1,,,uncommon,L,Homebrew,,,,,,,,,,,,,,,,,Homebrew
Arrows,,,,1,,,,L,Pathfinder Player Core pg. 280,,,,,,,,,,,,,,,,,Paizo
Ashes of the War God,20,,,14000,,"consumable, magical",rare,,Pathfinder #206: Bring the House Down pg. 81,,,,,,,,,,,,,,,,,Paizo
Astral (Greater),15,,,6000,,"magical, spirit",,,Pathfinder GM Core pg. 236,,,,,,,,,,,,,,,,,Paizo
Astral,8,,,450,,"magical, spirit",,,Pathfinder GM Core pg. 236,,,,,,,,,,,,,,,,,Paizo
Aurochs Jerky,9,,,80,,"alchemical, consumable, processed",uncommon,,"Pathfinder #208: Hoof, Cinder, and Storm pg. 80",,,,,,,,,,,,,,,,,Paizo
Aurochs' Might Tattoo (Greater),18,,,20000,,"invested, magical, tattoo",uncommon,,Pathfinder #207: The Resurrection Flood pg. 79,,,,,,,,,,,,,,,,,Paizo
Aurochs' Might Tattoo (Lesser),8,,,475,,"invested, magical, tattoo",uncommon,,Pathfinder #207: The Resurrection Flood pg. 79,,,,,,,,,,,,,,,,,Paizo
Aurochs' Might Tattoo (Moderate),13,,,2575,,"invested, magical, tattoo",uncommon,,Pathfinder #207: The Resurrection Flood pg. 79,,,,,,,,,,,,,,,,,Paizo
Avernal Cape,5,,,0,,"earth, invested, magical, relic",unique,L,Pathfinder #194: Cult of the Cave Worm pg. 78,,,,,,,,,,,,,,,,,Paizo
Awakened Adamantine Shot,18,,,3500,,"consumable, magical",uncommon,,Pathfinder Guns & Gears pg. 168,,,,,,,,,,,,,,,,,Paizo
Awakened Cold Iron Shot,17,,,2300,,"consumable, magical",uncommon,,Pathfinder Guns & Gears pg. 168,,,,,,,,,,,,,,,,,Paizo
Awakened Silver Shot,17,,,2300,,"consumable, magical",uncommon,,Pathfinder Guns & Gears pg. 168,,,,,,,,,,,,,,,,,Paizo
Axe of the Dwarven Lords,26,,,0,,"dwarf, magical, sweep, thrown-30, two-hand-d12",unique,3,Pathfinder Gamemastery Guide pg. 106,,,,,,,,,,,,,,,,,Paizo
Bakuwa Lizardfolk Bony Plates,1,,,0,,"aquadynamic, comfort",uncommon,,Pathfinder Lost Omens Tian Xia Character Guide,,,,,,,,,,,,,,,,,Paizo
Bane Ammunition (Greater),11,,,250,,"alchemical, consumable, poison",,,Pathfinder Treasure Vault pg. 42,,,,,,,,,,,,,,,,,Paizo
Bane Ammunition (Lesser),1,,,3,,"alchemical, consumable, poison",,,Pathfinder Treasure Vault pg. 42,,,,,,,,,,,,,,,,,Paizo
Bane Ammunition (Moderate),5,,,25,,"alchemical, consumable, poison",,,Pathfinder Treasure Vault pg. 42,,,,,,,,,,,,,,,,,Paizo
Basic Face Mask,0,,,3,,,,,Treasure Vault pg. 105,,,,,,,,,,,,,,,,,
Batsbreath Cane,10,,,950,,"finesse, magical, sweep",,L,Pathfinder Treasure Vault pg. 105,,,,,,,,,,,,,,,,,Paizo
Beekeeper's Smoker,1,,,1,,,uncommon,,Pathfinder #201: Pactbreaker pg. 48,,,,,,,,,,,,,,,,,Paizo
Bellicose Dagger,7,,,0,,"agile, cursed, finesse, magical, thrown-10, versatile-s",rare,L,Pathfinder Treasure Vault pg. 190,,,,,,,,,,,,,,,,,Paizo
Bitterblood Elixir,6,,,40,,"alchemical, consumable, elixir",rare,L,Pathfinder #214: The Broken Palace,,,,,,,,,,,,,,,,,Paizo
Black Ash (Greater),10,,,200,,"catalyst, consumable, magical",rare,,Pathfinder #210: Whispers in the Dirt pg. 78,,,,,,,,,,,,,,,,,Paizo
Black Ash (Major),15,,,1300,,"catalyst, consumable, magical",rare,,Pathfinder #210: Whispers in the Dirt pg. 78,,,,,,,,,,,,,,,,,Paizo
Black Ash,5,,,30,,"catalyst, consumable, magical",rare,,Pathfinder #210: Whispers in the Dirt pg. 78,,,,,,,,,,,,,,,,,Paizo
Black King,15,,,6250,,"concussive, magical, scatter-20, void",rare,2,Pathfinder Lost Omens Highhelm pg. 58,,,,,,,,,,,,,,,,,Paizo
Black Powder (Dose),0,,,1,,"Alchemical, Consumable",Uncommon,,Pathfinder Guns and Gears pg. 169,,,,,,,,,,,,,,,,,Paizo
Black Powder (Horn),2,,,5,,"alchemical, consumable",uncommon,5,Pathfinder Guns & Gears pg. 169,,,,,,,,,,,,,,,,,Paizo
Black Powder (Keg),6,,,50,,"alchemical, consumable",uncommon,50,Pathfinder Guns & Gears pg. 169,,,,,,,,,,,,,,,,,Paizo
Black Powder Knuckle Dusters (Melee),0,,,8,,"combination, agile, critical fusion, monk",uncommon,L,Pathfinder Guns & Gears pg. 159,,,,,,,,,,,,,,,,,Paizo
Black Powder Knuckle Dusters (Ranged),0,,,8,,"combination, concussive, fatal-d8, monk",uncommon,L,Pathfinder Guns & Gears pg. 159,,,,,,,,,,,,,,,,,Paizo
Blackaxe,25,,,,,"artifact, cursed, primal, unholy",unique,2,Pathfinder Monster Core pg. 329,,,,,,,,,,,,,,,,,Paizo
Blade of Fallen Stars,22,,,,,"artifact, combination, evocation",unique,2,Pathfinder Lost Omens Highhelm pg. 115,,,,,,,,,,,,,,,,,Paizo
Blast Boots (Greater),9,,,140,,"consumable, gadget",uncommon,L,Pathfinder Guns & Gears pg. 67,,,,,,,,,,,,,,,,,Paizo
Blast Boots (Lesser),1,,,3,,"consumable, gadget",uncommon,L,Pathfinder Guns & Gears pg. 67,,,,,,,,,,,,,,,,,Paizo
Blast Boots (Major),17,,,2750,,"consumable, gadget",uncommon,L,Pathfinder Guns & Gears pg. 67,,,,,,,,,,,,,,,,,Paizo
Blast Boots (Moderate),3,,,11,,"consumable, gadget",uncommon,L,Pathfinder Guns & Gears pg. 67,,,,,,,,,,,,,,,,,Paizo
Blast Foot (Greater),10,,,1000,,"invested, magical",,1,Pathfinder Lost Omens The Grand Bazaar pg. 73,,,,,,,,,,,,,,,,,Paizo
Blast Foot,6,,,250,,"invested, magical",,1,Pathfinder Lost Omens The Grand Bazaar pg. 73,,,,,,,,,,,,,,,,,Paizo
Bleachguard Doll,8,,,0,,"intelligent, magical",rare,L,Pathfinder Treasure Vault pg. 194,,,,,,,,,,,,,,,,,Paizo
Blood-Drinker Blade (Greater),9,,,700,,"agile, finesse, magical, versatile-s",uncommon,L,Pathfinder #213: Thirst for Blood,,,,,,,,,,,,,,,,,Paizo
Blood-Drinker Blade,5,,,160,,"agile, finesse, magical, versatile-s",uncommon,L,Pathfinder #213: Thirst for Blood,,,,,,,,,,,,,,,,,Paizo
Blood Drinker,16,,,24000,,magical,unique,L,Pathfinder Prey for Death pg. 101,,,,,,,,,,,,,,,,,Paizo
Blood Pack Squib,2,,,6,,"consumable, magical",uncommon,,Pathfinder Lost Omens Rival Academies pg. 56,,,,,,,,,,,,,,,,,Paizo
Bloodline Robe,12,,,2000,,"focused, invested, magical",,1,Pathfinder Treasure Vault pg. 147,,,,,,,,,,,,,,,,,Paizo
Bloodroot Shield,9,,,600,,"magical, void, wood",uncommon,1,Pathfinder #202: Severed at the Root pg. 80,,,,,,,,,,,,,,,,,Paizo
Bloodseeker Beak (Greater),8,,,100,,"consumable, magical, talisman",,L,Pathfinder GM Core pg. 263,,,,,,,,,,,,,,,,,Paizo
Bloodstone Doll (Major),16,,,1800,,"consumable, magical",rare,L,Pathfinder Lost Omens Rival Academies pg. 101,,,,,,,,,,,,,,,,,Paizo
Bloodstone Doll (Minor),4,,,15,,"consumable, magical",rare,L,Pathfinder Lost Omens Rival Academies pg. 101,,,,,,,,,,,,,,,,,Paizo
Bloodstone Doll (Moderate),10,,,180,,"consumable, magical",rare,L,Pathfinder Lost Omens Rival Academies pg. 101,,,,,,,,,,,,,,,,,Paizo
Boastful Hunter,3,,,0,,"concussive, fatal-aim-d12, intelligent, primal",rare,1,Pathfinder Guns & Gears pg. 162,,,,,,,,,,,,,,,,,Paizo
Bogeyman Breath,11,,,360,,"alchemical, consumable, fear, inhaled, mental, poison",uncommon,L,Pathfinder #203: Shepherd of Decay pg. 76,,,,,,,,,,,,,,,,,Paizo
Book of Lost Days,15,,,0,,"cursed, magical, enchantment",unique,1,Pathfinder Dark Archive pg. 160,,,,,,,,,,,,,,,,,Paizo
Boots of the Blight,12,,,1800,,"invested, magical",uncommon,L,Pathfinder #210: Whispers in the Dirt pg. 78,,,,,,,,,,,,,,,,,Paizo
Bootstrap Respirator,8,,,450,,mechanical,uncommon,L,Pathfinder Treasure Vault pg. 105,,,,,,,,,,,,,,,,,Paizo
Bottled Air,7,,,320,,"air, magical",,L,Pathfinder GM Core pg. 273,,,,,,,,,,,,,,,,,Paizo
Bottomless Purse,8,,,0,,"contract, invested, magical",rare,,Pathfinder Dark Archive pg. 164,,,,,,,,,,,,,,,,,Paizo
Bougainvillea Blossom (Greater),11,,,300,,"catalyst, consumable, magical",uncommon,L,Pathfinder #202: Severed at the Root pg. 78,,,,,,,,,,,,,,,,,Paizo
Bougainvillea Blossom (Lesser),3,,,10,,"catalyst, consumable, magical",uncommon,L,Pathfinder #202: Severed at the Root pg. 78,,,,,,,,,,,,,,,,,Paizo
Bougainvillea Blossom (Major),15,,,1200,,"catalyst, consumable, magical",uncommon,L,Pathfinder #202: Severed at the Root pg. 78,,,,,,,,,,,,,,,,,Paizo
Bougainvillea Blossom (Moderate),7,,,60,,"catalyst, consumable, magical",uncommon,L,Pathfinder #202: Severed at the Root pg. 78,,,,,,,,,,,,,,,,,Paizo
Boughshatter,13,,,2875,,"earth, magical, poison",uncommon,,Pathfinder #203 Shepherd of Decay pg. 79,,,,,,,,,,,,,,,,,Paizo
Bow of Sun Slaying,20,,,0,,"artifact, cold, deadly-d10, divine, propulsive",unique,1,Pathfinder Lost Omens Tian Xia Character Guide pg. 131,,,,,,,,,,,,,,,,,Paizo
Box of Unspoiling (Type I),5,,,200,,"extradimensional, magical",uncommon,1,"Pathfinder #208: Hoof, Cinder, and Storm pg. 80",,,,,,,,,,,,,,,,,Paizo
Box of Unspoiling (Type II),8,,,575,,"extradimensional, magical",uncommon,1,"Pathfinder #208: Hoof, Cinder, and Storm pg. 80",,,,,,,,,,,,,,,,,Paizo
Box of Unspoiling (Type III),12,,,1640,,"extradimensional, magical",uncommon,1,"Pathfinder #208: Hoof, Cinder, and Storm pg. 80",,,,,,,,,,,,,,,,,Paizo
Box of Unspoiling (Type IV),14,,,3600,,"extradimensional, magical",uncommon,1,"Pathfinder #208: Hoof, Cinder, and Storm pg. 80",,,,,,,,,,,,,,,,,Paizo
Bracers of Pain,12,,,2200,,"invested, magical",uncommon,L,Pathfinder #209: Destroyer's Doom pg. 83,,,,,,,,,,,,,,,,,Paizo
Brain Cylinder,6,,,250,,magical,,1,Pathfinder Adventure: Malevolence pg. 66,,,,,,,,,,,,,,,,,Paizo
Branch Attendant's Mask,2,,,25,,"invested, magical",uncommon,,Pathfinder Lost Omens Rival Academies pg. 69,,,,,,,,,,,,,,,,,Paizo
Breath Blaster (Greater),14,,,4500,,"concussive, magical, scatter-10",uncommon,2,Pathfinder Guns & Gears pg. 154,,,,,,,,,,,,,,,,,Paizo
Breath Blaster (Major),18,,,24000,,"concussive, magical, scatter-10",uncommon,2,Pathfinder Guns & Gears pg. 154,,,,,,,,,,,,,,,,,Paizo
Breath Blaster,8,,,500,,"concussive, magical, scatter-10",uncommon,2,Pathfinder Guns & Gears pg. 154,,,,,,,,,,,,,,,,,Paizo
Breech Ejectors,3,,,10,,consumable,uncommon,,Pathfinder Guns & Gears pg. 183,,,,,,,,,,,,,,,,,Paizo
Briar,20,,,,,"artifact, evocation, magical, transformation",unique,,Pathfinder Kingmaker Adventure Path pg. 584,,,,,,,,,,,,,,,,,Paizo
Burglar's Rosebud (Greater),8,,,100,,"consumable, emotion, mental, plant, wood",uncommon,L,Pathfinder #203: Shepherd of Decay pg. 76,,,,,,,,,,,,,,,,,Paizo
Burglar's Rosebud,3,,,10,,"consumable, emotion, mental, plant, wood",uncommon,L,Pathfinder #203: Shepherd of Decay pg. 76,,,,,,,,,,,,,,,,,Paizo
Burial Oil (Greater),11,,,250,,"consumable, magical, oil",uncommon,L,Pathfinder Treasure Vault pg. 86,,,,,,,,,,,,,,,,,Paizo
Burial Oil,3,,,10,,"consumable, magical",uncommon,L,Pathfinder Treasure Vault pg. 86,,,,,,,,,,,,,,,,,Paizo
Cloak of Eyes,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Zuggle Orb,,,,,,,,,,,,,,,,,,,,,,,,,,
Runebranded Hide,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt Stake,,,,,,,,,,,,,,,,,,,,,,,,,,
Silken Tail,,,,,,,,,,,,,,,,,,,,,,,,,,
Skagappa,,,,,,,,,,,,,,,,,,,,,,,,,,
Chochori Whistlespear,,,,,,,,,,,,,,,,,,,,,,,,,,
Earthrune,,,,,,,,,,,,,,,,,,,,,,,,,,
Emberstaff (Greater),,,,,,,,,,,,,,,,,,,,,,,,,,
Emberstaff (Major),,,,,,,,,,,,,,,,,,,,,,,,,,
Emberstaff,,,,,,,,,,,,,,,,,,,,,,,,,,
Galtzagorri Hook Spear,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardriggan Jagblade,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Woody,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquid Euphoria,,,,,,,,,,,,,,,,,,,,,,,,,,
Cane of the Maelstrom,22,,,0,,"artifact, cursed, divine, thrown-10",unique,L,Pathfinder #162: Ruins of the Radiant Siege pg. 73,,,,,,,,,,,,,,,,,Paizo
Cane,0,,,5,,,,,Pathfinder Player Core pg. 293,,,,,,,,,,,,,,,,,Paizo
Canopy Bulwark,8,,,550,,"invested, laminar, magical",rare,1,Pathfinder #201: Pactbreaker pg. 81,,,,,,,,,,,,,,,,,Paizo
Castrovel's Beacon,14,,,4500,,"deadly-d8, disarm, finesse, magical",unique,1,Pathfinder #210: Whispers in the Dirt pg. 77,,,,,,,,,,,,,,,,,Paizo
Cauterizing Torch,2,,,10,,"consumable, gadget",uncommon,L,Pathfinder Guns & Gears pg. 67,,,,,,,,,,,,,,,,,Paizo
Cayden's Tankard,25,,,0,,"agile, artifact, divine, thrown-20",unique,L,Pathfinder Treasure Vault pg. 178,,,,,,,,,,,,,,,,,Paizo
Chain,0,,,4,,,,1,Pathfinder Player Core pg. 287,,,,,,,,,,,,,,,,,Paizo
Chair of Inventions,8,,,875,,magical,,1,Pathfinder Treasure Vault,,,,,,,,,,,,,,,,,Paizo
Chalice of Ozem,11,,,0,,"artifact, divine",unique,L,Pathfinder Claws of the Tyrant pg. 110,,,,,,,,,,,,,,,,,Paizo
Chalk,0,,,1,,,,,Pathfinder Player Core pg. 287,,,,,,,,,,,,,,,,,Paizo
Chaplain's Cudgel,9,,,650,,"magical, shove",,1,Pathfinder GM Core,,,,,,,,,,,,,,,,,Paizo
Charm of Resistance (Greater),10,,,975,,"invested, magical",,,Pathfinder GM Core pg. 287,,,,,,,,,,,,,,,,,Paizo
Charm of Resistance (Major),14,,,4400,,"invested, magical",,,Pathfinder GM Core pg. 287,,,,,,,,,,,,,,,,,Paizo
Charm of Resistance,6,,,245,,"invested, magical",,,Pathfinder GM Core pg. 287,,,,,,,,,,,,,,,,,Paizo
Choral Toga,19,,,40000,,"apex, holy, invested, magical",rare,L,Pathfinder #206: Bring the House Down pg. 81,,,,,,,,,,,,,,,,,Paizo
Cindergrass Cloak,7,,,250,,"invested, magical",uncommon,L,"Pathfinder #208: Hoof, Cinder, and Storm pg. 80",,,,,,,,,,,,,,,,,Paizo
Cindergrass Poultice,6,,,33,,"consumable, healing, magical, oil",uncommon,L,"Pathfinder #208: Hoof, Cinder, and Storm pg. 80",,,,,,,,,,,,,,,,,Paizo
Cipher of Elemental Planes,16,,,9000,,magical,rare,L,Pathfinder Rage of Elements pg. 224,,,,,,,,,,,,,,,,,Paizo
Clawed Bracers,7,,,325,,"invested, primal",,L,Pathfinder GM Core pg. 287,,,,,,,,,,,,,,,,,Paizo
Clay Sphere (Greater),6,,,225,,"magical, spellheart",uncommon,L,Pathfinder #202: Severed at the Root pg. 80,,,,,,,,,,,,,,,,,Paizo
Clay Sphere (Major),14,,,4200,,"magical, spellheart",uncommon,L,Pathfinder #202: Severed at the Root pg. 80,,,,,,,,,,,,,,,,,Paizo
Clay Sphere,3,,,55,,"magical, spellheart",uncommon,L,Pathfinder #202: Severed at the Root pg. 80,,,,,,,,,,,,,,,,,Paizo
Clear Cutter's Axe,9,,,600,,"agile, magical, sweep, thrown-10",rare,L,Pathfinder #202: Severed at the Root pg. 77,,,,,,,,,,,,,,,,,Paizo
Cleft Head Marking (Greater),10,,,850,,"invested, magical, tattoo",rare,,Pathfinder #207: The Resurrection Flood pg. 79,,,,,,,,,,,,,,,,,Paizo
Cleft Head Marking (Lesser),4,,,80,,"invested, magical, tattoo",rare,,Pathfinder #207: The Resurrection Flood pg. 79,,,,,,,,,,,,,,,,,Paizo
Cloak of Swiftness,17,,,15000,,"apex, invested, magical",,,Pathfinder GM Core pg. 270,,,,,,,,,,,,,,,,,Paizo
Cloud Pouch,6,,,225,,"magical, water",,1,Pathfinder GM Core pg. 273,,,,,,,,,,,,,,,,,Paizo
Cold Iron,2,,,,,precious,,,Pathfinder GM Core pg. 253,,,,,,,,,,,,,,,,,Paizo
Coldstar Pistols,23,,,0,,"agile, artifact, concealable, concussive, fatal-d10, magical",unique,1,Pathfinder Treasure Vault pg. 178,,,,,,,,,,,,,,,,,Paizo
Compound Eyes,4,,,75,,"fortune, graft, invested, magical",,,Pathfinder Howl of the Wild pg. 98,,,,,,,,,,,,,,,,,Paizo
Concealed Holster,3,,,25,,,uncommon,L,Pathfinder Guns & Gears pg. 179,,,,,,,,,,,,,,,,,Paizo
confabulator,3,,,55,,"illusion, magical",uncommon,,Pathfinder Treasure Vault pg. 109,,,,,,,,,,,,,,,,,Paizo
Conspirator's Cookie,4,,,15,,"consumable, magical",rare,L,Pathfinder Lost Omens Rival Academies pg. 29,,,,,,,,,,,,,,,,,Paizo
Countering Charm (Greater),15,,,5500,,"invested, magical",uncommon,L,Pathfinder GM Core pg. 287,,,,,,,,,,,,,,,,,Paizo
