item,path,target_layout,possible_database_matches,export_errors,Name,Source,Rarity,Traits,ItemLevel,AddedPrice,AddedPricePerBulk,Prerequisite,Type,Publisher_Source,Subtype,Cost,Curse,Bulk,Adventuring,Alchemist,Arcane,Blacksmith,Scribe,Bowyer,General,Jewelry,Leatherworker,Music_Games,Illicit,Tailor,Temple,Armorer,Weaponsmith,Tattooist
Adamantine Buckler (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\adamantine-buckler-standard-grade.md,material,Adamantine Armor (Standard-Grade); Adamantine Weapon (Standard-Grade); Adamantine Shield (Standard-Grade),,Adamantine Buckler (Standard Grade),Pathfinder GM Core pg. 233,uncommon,,8,400,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Adamantine Echo,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\adamantine-echo.md,worn_item,Adamantine Chunk; Adamantine Ingot; Adamantine Flake,,Adamantine Echo,Pathfinder #193: Mantle of Gold pg. 83,unique,"earth, invested, magical, relic",5,,,,,Paizo,,0,,L,,,,,,,,,,,,,,,,
Adamantine Object (High Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\adamantine-object-high-grade.md,material,Adamantine Armor (High-Grade); Adamantine Weapon (High-Grade); Adamantine Shield (High-Grade),,Adamantine Object (High Grade),Pathfinder GM Core pg. 253,uncommon,precious,16,6000,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Adamantine Object (Standard Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\adamantine-object-standard-grade.md,material,Adamantine Armor (Standard-Grade); Adamantine Weapon (Standard-Grade); Adamantine Shield (Standard-Grade),,Adamantine Object (Standard Grade),Pathfinder GM Core pg. 253,uncommon,precious,8,350,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Adamantine,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\adamantine.md,worn_item,Adamantine Ingot; Adamantine Flake; Adamantine Chunk,,Adamantine,Pathfinder GM Core pg. 253,uncommon,precious,0,,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Adaptive Cogwheel,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\adaptive-cogwheel.md,worn_item,,,Adaptive Cogwheel,Pathfinder Guns & Gears pg. 84,,"consumable, magical, talisman",2,,,,,Paizo,,5,,,,,,,,,,,,,,,,,,
Admonishing Band,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\admonishing-band.md,worn_item,,,Admonishing Band,Pathfinder Guns & Gears pg. 184,,"consumable, magical, talisman",4,,,,,Paizo,,20,,,,,,,,,,,,,,,,,,
Aeon Stone (Envisioning),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-envisioning.md,worn_item,Aeon Stone (Nourishing),,Aeon Stone (Envisioning),Pathfinder GM Core pg. 284,uncommon,"invested, magical",8,,,,,Paizo,,425,,,,,,,,,,,,,,,,,,
Aeon Stone (Formulating),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-formulating.md,worn_item,Aeon Stone (Delaying),,Aeon Stone (Formulating),Pathfinder #213: Thirst for Blood,uncommon,"invested, magical",4,,,,,Paizo,,75,,,,,,,,,,,,,,,,,,
Aeon Stone (Peering),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-peering.md,worn_item,Aeon Stone (Delaying); Aeon Stone (Nourishing); Aeon Stone (Amplifying),,Aeon Stone (Peering),Pathfinder GM Core pg. 284,uncommon,"invested, magical",16,,,,,Paizo,,8500,,,,,,,,,,,,,,,,,,
Aeon Stone (Preserving),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-preserving.md,worn_item,Aeon Stone (Nourishing); Aeon Stone (Delaying),,Aeon Stone (Preserving),Pathfinder GM Core pg. 284,uncommon,"invested, magical",5,,,,,Paizo,,150,,,,,,,,,,,,,,,,,,
Aeon Stone (Repairing),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-repairing.md,worn_item,Aeon Stone (Delaying); Aeon Stone (Nourishing); Aeon Stone (Amplifying),,Aeon Stone (Repairing),Pathfinder #213: Thirst for Blood,uncommon,"invested, magical",4,,,,,Paizo,,75,,,,,,,,,,,,,,,,,,
Aeon Stone (Smoothing),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-smoothing.md,worn_item,Aeon Stone (Nourishing),,Aeon Stone (Smoothing),Pathfinder GM Core pg. 284,uncommon,"invested, magical",7,,,,,Paizo,,310,,,,,,,,,,,,,,,,,,
Aeon Stone (Sprouting),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aeon-stone-sprouting.md,worn_item,Aeon Stone (Nourishing),,Aeon Stone (Sprouting),Pathfinder GM Core pg. 284,uncommon,"invested, magical",6,,,,,Paizo,,220,,,,,,,,,,,,,,,,,,
Aether Appendage,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aether-appendage.md,worn_item,,,Aether Appendage,Pathfinder Treasure Vault pg. 108,uncommon,"incorporeal, magical",5,,,,,Paizo,,160,,L,,,,,,,,,,,,,,,,
Aetheric Irritant (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aetheric-irritant-greater.md,worn_item,,,Aetheric Irritant (Greater),Pathfinder Lost Omens Rival Academies pg. 92,uncommon,"consumable, gadget, sonic",11,,,,,Paizo,,275,,L,,,,,,,,,,,,,,,,
Aetheric Irritant (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aetheric-irritant-lesser.md,worn_item,,,Aetheric Irritant (Lesser),Pathfinder Lost Omens Rival Academies pg. 92,uncommon,"consumable, gadget, sonic",1,,,,,Paizo,,4,,L,,,,,,,,,,,,,,,,
Aetheric Irritant (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aetheric-irritant-major.md,worn_item,,,Aetheric Irritant (Major),Pathfinder Lost Omens Rival Academies pg. 92,uncommon,"consumable, gadget, sonic",17,,,,,Paizo,,2750,,L,,,,,,,,,,,,,,,,
Aetheric Irritant (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aetheric-irritant-moderate.md,worn_item,,,Aetheric Irritant (Moderate),Pathfinder Lost Omens Rival Academies pg. 92,uncommon,"consumable, gadget, sonic",3,,,,,Paizo,,11,,L,,,,,,,,,,,,,,,,
Affinity Stones,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\affinity-stones.md,worn_item,,,Affinity Stones,Pathfinder Lost Omens Highhelm pg. 115,rare,"artifact, invested, magical",9,,,,,Paizo,,0,,,,,,,,,,,,,,,,,,
Air Cartridge Firing System,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\air-cartridge-firing-system.md,worn_item,,,Air Cartridge Firing System,Pathfinder Guns & Gears pg. 183,uncommon,,4,,,,,Paizo,,75,,,,,,,,,,,,,,,,,,
Air Repeater,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\air-repeater.md,worn_item,Paired (Greater),,Air Repeater,Pathfinder Guns & Gears pg. 152,uncommon,"agile, repeating",0,,,,,Paizo,,4,,L,,,,,,,,,,,,,,,,
Alcohol,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Alcohol.md,worn_item,,,Alcohol,Pathfinder Gamemastery Guide pg. 120,,"alchemical, consumable, drug, ingested, poison",,,,,,Paizo,,1,,1,,,,,,,,,,,,,,,,
Alicorn Trigger,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alicorn-trigger.md,worn_item,Alicorn Hair,,Alicorn Trigger,Pathfinder Howl of the Wild pg. 104,rare,"concussive, fatal-aim-d12, magical",15,,,,,Paizo,,6500,,1,,,,,,,,,,,,,,,,
Alloy Orb (Exquisite High-Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alloy-orb-exquisite-high-grade.md,material,,,Alloy Orb (Exquisite High-Grade),Pathfinder GM Core pg. 263,uncommon,"consumable, magical, talisman",18,4500,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Alloy Orb (Exquisite Standard-Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alloy-orb-exquisite-standard-grade.md,material,,,Alloy Orb (Exquisite Standard-Grade),Pathfinder GM Core pg. 263,uncommon,"consumable, magical, talisman",12,400,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Alloy Orb (High-Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alloy-orb-high-grade.md,material,,,Alloy Orb (High-Grade),Pathfinder GM Core pg. 263,,"consumable, magical, talisman",16,1500,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Alloy Orb (Low-Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alloy-orb-low-grade.md,material,,,Alloy Orb (Low-Grade),Pathfinder GM Core pg. 263,,"consumable, magical, talisman",3,10,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Alloy Orb (Standard-Grade),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\alloy-orb-standard-grade.md,material,Noqual Armor (Standard-Grade); Abysium Armor (Standard-Grade),,Alloy Orb (Standard-Grade),Pathfinder GM Core pg. 263,,"consumable, magical, talisman",8,80,,,,Paizo,,,,,,,,,,,,,,,,,,,,
Amphibious Chair,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\amphibious-chair.md,worn_item,,,Amphibious Chair,Pathfinder Lost Omens The Grand Bazaar pg. 71,,magical,9,,,,,Paizo,,575,,,,,,,,,,,,,,,,,,
Amulet of Kinship's Strength,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\amulet-of-kinships-strength.md,worn_item,,,Amulet of Kinship's Strength,Pathfinder #209: Destroyer's Doom pg. 82,uncommon,"invested, magical",12,,,,,Paizo,,2000,,L,,,,,,,,,,,,,,,,
Ancestral Embrace,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ancestral-embrace.md,worn_item,Ancestral Geometry,,Ancestral Embrace,Pathfinder #174: Shadows of the Ancients pg. 76,unique,"artifact, divine, invested",26,,,,,Paizo,,0,,1,,,,,,,,,,,,,,,,
Angelic Opera Cloak,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\angelic-opera-cloak.md,worn_item,,,Angelic Opera Cloak,Pathfinder #206: Bring the House Down pg. 81,rare,"apex, holy, invested, magical",19,,,,,Paizo,,40000,,L,,,,,,,,,,,,,,,,
Anima Robe (Artifact),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\anima-robe-artifact.md,worn_item,,,Anima Robe (Artifact),Pathfinder #212: A Voice in the Blight pg. 72,unique,"apex, artifact, illusion, intelligent, invested, magical",20,,,,,Paizo,,0,,L,,,,,,,,,,,,,,,,
Anima Robe,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\anima-robe.md,worn_item,Animal Bed; Animate Object,,Anima Robe,Pathfinder #211: The Secret of Deathstalk Tower pg. 81,unique,"illusion, invested, magical",15,,,,,Paizo,,6500,,L,,,,,,,,,,,,,,,,
Animate Dreamer,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\animate-dreamer.md,worn_item,,,Animate Dreamer,Pathfinder Guns & Gears pg. 161,rare,"concussive, dwarf, intelligent, kickback, occult, scatter-10",15,,,,,Paizo,,0,,2,,,,,,,,,,,,,,,,
Animated,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Animated.md,worn_item,Animal Bed,,Animated,Pathfinder GM Core pg. 236,uncommon,magical,13,,,,,Paizo,,2700,,,,,,,,,,,,,,,,,,
Antifungal Salve (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\antifungal-salve-greater.md,worn_item,,,Antifungal Salve (Greater),Pathfinder #210: Whispers in the Dirt pg. 77,,"alchemical, consumable",10,,,,,Paizo,,160,,L,,,,,,,,,,,,,,,,
Antifungal Salve (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\antifungal-salve-lesser.md,worn_item,,,Antifungal Salve (Lesser),Pathfinder #210: Whispers in the Dirt pg. 77,,"alchemical, consumable",1,,,,,Paizo,,3,,L,,,,,,,,,,,,,,,,
Antifungal Salve (Major),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\antifungal-salve-major.md,worn_item,,,Antifungal Salve (Major),Pathfinder #210: Whispers in the Dirt pg. 77,,"alchemical, consumable",14,,,,,Paizo,,675,,L,,,,,,,,,,,,,,,,
Antifungal Salve (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\antifungal-salve-moderate.md,worn_item,Antiplague (Moderate),,Antifungal Salve (Moderate),Pathfinder #210: Whispers in the Dirt pg. 77,,"alchemical, consumable",6,,,,,Paizo,,35,,L,,,,,,,,,,,,,,,,
Apotheosis Knife,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\apotheosis-knife.md,worn_item,,,Apotheosis Knife,Pathfinder #212: A Voice in the Blight pg. 79,rare,"agile, finesse, magical, thrown-10, unholy, versatile-s",20,,,,,Paizo,,60000,,L,,,,,,,,,,,,,,,,
Apparition Gloves,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\apparition-gloves.md,worn_item,,,Apparition Gloves,Pathfinder Treasure Vault pg. 109,,magical,2,,,,,Paizo,,25,,L,,,,,,,,,,,,,,,,
Aquarium Lamp,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aquarium-lamp.md,worn_item,,,Aquarium Lamp,Pathfinder Guns & Gears pg. 84,uncommon,"electricity, light",8,,,,,Paizo,,1500,,20,,,,,,,,,,,,,,,,
Arboreal Staff,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\arboreal-staff.md,worn_item,Boreal Staff; Boreal Staff (Major),,Arboreal Staff,Pathfinder Treasure Vault pg. 193,rare,"intelligent, magical, primal, staff, two-hand-d8",12,,,,,Paizo,,1750,,1,,,,,,,,,,,,,,,,
Arboreal Wand (Rank 2),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\arboreal-wand-rank-2.md,worn_item,,,Arboreal Wand (Rank 2),Pathfinder #201: Pactbreaker pg. 81,rare,"healing, magical, vitality, wand",9,,,,,Paizo,,700,,L,,,,,,,,,,,,,,,,
Arboreal Wand (Rank 3),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\arboreal-wand-rank-3.md,worn_item,,,Arboreal Wand (Rank 3),Pathfinder #201: Pactbreaker pg. 241,rare,"healing, magical, vitality, wand",11,,,,,Paizo,,1400,,L,,,,,,,,,,,,,,,,
Arboreal Wand (Rank 4),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\arboreal-wand-rank-4.md,worn_item,,,Arboreal Wand (Rank 4),Pathfinder #201: Pactbreaker pg. 241,rare,"healing, magical, vitality, wand",13,,,,,Paizo,,3000,,L,,,,,,,,,,,,,,,,
Arboreal Wand (Rank 5),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\arboreal-wand-rank-5.md,worn_item,,,Arboreal Wand (Rank 5),Pathfinder #201: Pactbreaker pg. 241,rare,"healing, magical, vitality, wand",15,,,,,Paizo,,6500,,L,,,,,,,,,,,,,,,,
Arboreal Wand (Rank 6),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\arboreal-wand-rank-6.md,worn_item,,,Arboreal Wand (Rank 6),Pathfinder #201: Pactbreaker pg. 241,rare,"healing, magical, vitality, wand",17,,,,,Paizo,,15000,,L,,,,,,,,,,,,,,,,
Arboreal Wand (Rank 7),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\arboreal-wand-rank-7.md,worn_item,,,Arboreal Wand (Rank 7),Pathfinder #201: Pactbreaker pg. 241,rare,"healing, magical, vitality, wand",19,,,,,Paizo,,40000,,L,,,,,,,,,,,,,,,,
Arboreal's Revenge,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\arboreals-revenge.md,worn_item,,,Arboreal's Revenge,Pathfinder Guns & Gears pg. 160,rare,"concussive, cursed, magical, scatter-10",6,,,,,Paizo,,0,,2,,,,,,,,,,,,,,,,
Aroden's Hearthstone,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\arodens-hearthstone.md,worn_item,Skarja's Heartstone,,Aroden's Hearthstone,Pathfinder #156: The Apocalypse Prophet pg. 66,unique,"arcane, artifact",25,,,,,Paizo,,0,,L,,,,,,,,,,,,,,,,
Aromatic Ammunition,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aromatic-ammunition.md,worn_item,Resonating Ammunition; Ghost Ammunition; Sampling Ammunition,,Aromatic Ammunition,Pathfinder Guns & Gears pg. 168,,"alchemical, consumable",2,,,,,Paizo,,5,,,,,,,,,,,,,,,,,,
Arquebus,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Arquebus.md,basic,,,Arquebus,Pathfinder NPC Core pg. 50,,"concussive, fatal-d12, kickback",0,,,,Martial Ranged,Paizo,,8,,2,,,,,,,,,,,,,,,,
Arrows (Bludgeon),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\arrows-bludgeon.md,worn_item,,,Arrows (Bludgeon),Homebrew,uncommon,,,,,,,Homebrew,,1,,L,,,,,,,,,,,,,,,,
Arrows,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Arrows.md,worn_item,Arrows (10),,Arrows,Pathfinder Player Core pg. 280,,,,,,,,Paizo,,1,,L,,,,,,,,,,,,,,,,
Ashes of the War God,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\ashes-of-the-war-god.md,worn_item,,,Ashes of the War God,Pathfinder #206: Bring the House Down pg. 81,rare,"consumable, magical",20,,,,,Paizo,,14000,,,,,,,,,,,,,,,,,,
Astral (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\astral-(greater).md,worn_item,Trackless (Greater); Frost Vial (Greater); Tree Sap (Greater),,Astral (Greater),Pathfinder GM Core pg. 236,,"magical, spirit",15,,,,,Paizo,,6000,,,,,,,,,,,,,,,,,,
Astral,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\Astral.md,worn_item,,,Astral,Pathfinder GM Core pg. 236,,"magical, spirit",8,,,,,Paizo,,450,,,,,,,,,,,,,,,,,,
Aurochs Hide Armor,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aurochs-hide-armor.md,basic,Hide Armor,,Aurochs Hide Armor,Pathfinder #209: Destroyer's Doom pg. 82,uncommon,"invested, magical",10,,,,Medium,Paizo,,1000,,2,,,,,,,,,,,,,,,,
Aurochs Jerky,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aurochs-jerky.md,worn_item,,,Aurochs Jerky,"Pathfinder #208: Hoof, Cinder, and Storm pg. 80",uncommon,"alchemical, consumable, processed",9,,,,,Paizo,,80,,,,,,,,,,,,,,,,,,
Aurochs' Might Tattoo (Greater),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aurochs-might-tattoo-greater.md,worn_item,Faith Tattoo (Greater),,Aurochs' Might Tattoo (Greater),Pathfinder #207: The Resurrection Flood pg. 79,uncommon,"invested, magical, tattoo",18,,,,,Paizo,,20000,,,,,,,,,,,,,,,,,,
Aurochs' Might Tattoo (Lesser),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aurochs-might-tattoo-lesser.md,worn_item,,,Aurochs' Might Tattoo (Lesser),Pathfinder #207: The Resurrection Flood pg. 79,uncommon,"invested, magical, tattoo",8,,,,,Paizo,,475,,,,,,,,,,,,,,,,,,
Aurochs' Might Tattoo (Moderate),F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\aurochs-might-tattoo-moderate.md,worn_item,,,Aurochs' Might Tattoo (Moderate),Pathfinder #207: The Resurrection Flood pg. 79,uncommon,"invested, magical, tattoo",13,,,,,Paizo,,2575,,,,,,,,,,,,,,,,,,
Avernal Cape,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\avernal-cape.md,worn_item,,,Avernal Cape,Pathfinder #194: Cult of the Cave Worm pg. 78,unique,"earth, invested, magical, relic",5,,,,,Paizo,,0,,L,,,,,,,,,,,,,,,,
Awakened Adamantine Shot,F:\Obsidian\PF2e-Core-Vault\3-Rules\Character Building\Equipment\A\awakened-adamantine-shot.md,worn_item,,,Awakened Adamantine Shot,Pathfinder Guns & Gears pg. 168,uncommon,"consumable, magical",18,,,,,Paizo,,3500,,,,,,,,,,,,,,,,,,
