Name,Source,Rarity,Traits,ItemLevel,AddedPrice,AddedPricePerBulk,Prerequisite,Type,Publisher_Source
Duskwood Tower Shield (Standard Grade),Pathfinder GM Core pg. 233,uncommon,,8,560,,,,Paizo
Grisantian Pelt Object (High Grade),Pathfinder Monsters of Legend pg. 35,rare,precious,18,12000,,,,Paizo
Grisantian Pelt Object (Standard Grade),Pathfinder Monsters of Legend pg. 35,rare,precious,12,1200,,,,Paizo
Bulette Shellplate Armor (High-Grade),Harvest Compendium pg. 150,uncommon,,16,8200,,,,
Bulette Shellplate Armor (Low-Grade),Harvest Compendium pg. 150,uncommon,,5,140,,,,
Bulette Shellplate Armor (Standard-Grade),Harvest Compendium pg. 150,uncommon,,8,480,,,,
High-Grade Alghollthu Rawhide Armor,,,,,,,,,
High-Grade Baomal Shellplate Armor,,,,,,,,,
High-Grade Barghest Rawhide Armor,,,,,,,,,
High-Grade Cave Worm Rawhide Armor,,,,,,,,,
High-Grade Dragon Turtle Shellplate Armor,,,,,,,,,
High-Grade Faerie Dragonhide Armor,,,,,,,,,
High-Grade Kraken Rawhide Armor,,,,,,,,,
High-Grade Mukradi Rawhide Armor,,,,,,,,,
High-Grade Remorhaz Rawhide Armor,,,,,,,,,
Low-Grade Alghollthu Rawhide Armor,,,,,,,,,
Low-Grade Faerie Dragonhide Armor,,,,,,,,,
Standard-Grade Alghollthu Rawhide Armor,,,,,,,,,
Standard-Grade Baomal Shellplate Armor,,,,,,,,,
Standard-Grade Barghest Rawhide Armor,,,,,,,,,
Standard-Grade Cave Worm Rawhide Armor,,,,,,,,,
Standard-Grade Dragon Turtle Shellplate Armor,,,,,,,,,
Standard-Grade Faerie Dragonhide Armor,,,,,,,,,
Standard-Grade Kraken Rawhide Armor,,,,,,,,,
Standard-Grade Mukradi Rawhide Armor,,,,,,,,,
Standard-Grade Remorhaz Rawhide Armor,,,,,,,,,
Inubrix High (Standard Grade),Pathfinder Lost Omens The Grand Bazaar pg. 98,rare,,15,5000,,,,Paizo
Inubrix Buckler (Standard Grade),Pathfinder Lost Omens The Grand Bazaar pg. 98,rare,,7,320,,,,Paizo
Inubrix Object High (Standard Grade),Pathfinder Lost Omens The Grand Bazaar pg. 98,rare,precious,16,6500,,,,Paizo
Inubrix Object (Standard Grade),Pathfinder Lost Omens The Grand Bazaar pg. 98,rare,precious,8,400,,,,Paizo
Keep Stone Object (High Grade),Pathfinder Lost Omens Highhelm pg. 113,rare,precious,17,9000,,,,Paizo
Silver Buckler (High Grade),Pathfinder GM Core pg. 234,,,15,5000,,,,Paizo
Silver Buckler (Low Grade),Pathfinder GM Core pg. 234,,,2,30,,,,Paizo
Silver Buckler (Standard Grade),Pathfinder GM Core pg. 234,,,7,300,,,,Paizo
Silver Object (High Grade),Pathfinder GM Core pg. 254,,precious,15,4500,,,,Paizo
Silver Object (Low Grade),Pathfinder GM Core pg. 254,,precious,2,20,,,,Paizo
Silver Object (Standard Grade),Pathfinder GM Core pg. 254,,precious,7,250,,,,Paizo
Warpglass Object (High Grade),Pathfinder #162: Ruins of the Radiant Siege pg. 74,rare,precious,17,8000,,,,Paizo
